sampleName	fileName	tissue	condition	group	label	outlier
C1_htseq_gene_counts.txt	C1_htseq_gene_counts.txt	eye	control	eye_control	Eye_Control_1	FALSE
C1S1_htseq_gene_counts.txt	C1S1_htseq_gene_counts.txt	tail	control	tail_control	Tail_Control_1	FALSE
C2S2_htseq_gene_counts.txt	C2S2_htseq_gene_counts.txt	tail	control	tail_control	Tail_Control_2	FALSE
C3S3_htseq_gene_counts.txt	C3S3_htseq_gene_counts.txt	tail	control	tail_control	Tail_Control_3	FALSE
C4_htseq_gene_counts.txt	C4_htseq_gene_counts.txt	eye	control	eye_control	Eye_Control_2	FALSE
C4S4_htseq_gene_counts.txt	C4S4_htseq_gene_counts.txt	tail	control	tail_control	Tail_Control_4	FALSE
C5_htseq_gene_counts.txt	C5_htseq_gene_counts.txt	eye	control	eye_control	Eye_Control_3	FALSE
C8_htseq_gene_counts.txt	C8_htseq_gene_counts.txt	eye	control	eye_control	Eye_Control_4	FALSE
dcrep1_htseq_gene_counts.txt	dcrep1_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_1	FALSE
dcrep2_htseq_gene_counts.txt	dcrep2_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_2	FALSE
dcrep3_htseq_gene_counts.txt	dcrep3_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_3	FALSE
dcrep6_htseq_gene_counts.txt	dcrep6_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_5	FALSE
fungicide_l0a.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l0a.Aligned.out.bam_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_6	FALSE
fungicide_l0b.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l0b.Aligned.out.bam_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_7	FALSE
fungicide_l0c.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l0c.Aligned.out.bam_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_8	FALSE
fungicide_l0d.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l0d.Aligned.out.bam_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_9	FALSE
fungicide_l30a.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l30a.Aligned.out.bam_htseq_gene_counts.txt	bodywall	fungicide	bodywall_fungicide	Bodywall_Fungicide_1	FALSE
fungicide_l30b.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l30b.Aligned.out.bam_htseq_gene_counts.txt	bodywall	fungicide	bodywall_fungicide	Bodywall_Fungicide_2	FALSE
fungicide_l30c.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l30c.Aligned.out.bam_htseq_gene_counts.txt	bodywall	fungicide	bodywall_fungicide	Bodywall_Fungicide_3	FALSE
fungicide_l30d.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l30d.Aligned.out.bam_htseq_gene_counts.txt	bodywall	fungicide	bodywall_fungicide	Bodywall_Fungicide_4	FALSE
fungicide_l30e.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l30e.Aligned.out.bam_htseq_gene_counts.txt	bodywall	fungicide	bodywall_fungicide	Bodywall_Fungicide_5	FALSE
irrep1_htseq_gene_counts.txt	irrep1_htseq_gene_counts.txt	bodywall	irradiated	bodywall_irradiated	Bodywall_Irradiated_1	FALSE
irrep4_htseq_gene_counts.txt	irrep4_htseq_gene_counts.txt	bodywall	irradiated	bodywall_irradiated	Bodywall_Irradiated_2	FALSE
irrep5_htseq_gene_counts.txt	irrep5_htseq_gene_counts.txt	bodywall	irradiated	bodywall_irradiated	Bodywall_Irradiated_3	FALSE
irrep6_htseq_gene_counts.txt	irrep6_htseq_gene_counts.txt	bodywall	irradiated	bodywall_irradiated	Bodywall_Irradiated_4	FALSE
R1_htseq_gene_counts.txt	R1_htseq_gene_counts.txt	eye	amputated	eye_amputated	Eye_Amputated_1	FALSE
R3_htseq_gene_counts.txt	R3_htseq_gene_counts.txt	eye	amputated	eye_amputated	Eye_Amputated_2	FALSE
R4_htseq_gene_counts.txt	R4_htseq_gene_counts.txt	eye	amputated	eye_amputated	Eye_Amputated_3	FALSE
R6_htseq_gene_counts.txt	R6_htseq_gene_counts.txt	eye	amputated	eye_amputated	Eye_Amputated_4	FALSE
rmoverrep_fpDLHead1_S4_htseq_gene_counts.txt	rmoverrep_fpDLHead1_S4_htseq_gene_counts.txt	head	control	head_control	Head_Control_1	FALSE
rmoverrep_fpDLHead2_S5_htseq_gene_counts.txt	rmoverrep_fpDLHead2_S5_htseq_gene_counts.txt	head	control	head_control	Head_Control_2	FALSE
rmoverrep_fpDLHead3_S6_htseq_gene_counts.txt	rmoverrep_fpDLHead3_S6_htseq_gene_counts.txt	head	control	head_control	Head_Control_3	FALSE
rmoverrep_fpDLJuv1_S10_htseq_gene_counts.txt	rmoverrep_fpDLJuv1_S10_htseq_gene_counts.txt	juvenile	control	juvenile_control	Juvenile_Control_1	FALSE
rmoverrep_fpDLJuv2_S11_htseq_gene_counts.txt	rmoverrep_fpDLJuv2_S11_htseq_gene_counts.txt	juvenile	control	juvenile_control	Juvenile_Control_2	FALSE
rmoverrep_fpDLJuv3_S12_htseq_gene_counts.txt	rmoverrep_fpDLJuv3_S12_htseq_gene_counts.txt	juvenile	control	juvenile_control	Juvenile_Control_3	FALSE
rmoverrep_fpDLOvo1_S7_htseq_gene_counts.txt	rmoverrep_fpDLOvo1_S7_htseq_gene_counts.txt	ovotestis	control	ovotestis_control	Ovotestis_Control_1	FALSE
rmoverrep_fpDLOvo2_S8_htseq_gene_counts.txt	rmoverrep_fpDLOvo2_S8_htseq_gene_counts.txt	ovotestis	control	ovotestis_control	Ovotestis_Control_2	FALSE
rmoverrep_fpDLOvo3_S9_htseq_gene_counts.txt	rmoverrep_fpDLOvo3_S9_htseq_gene_counts.txt	ovotestis	control	ovotestis_control	Ovotestis_Control_3	FALSE
T2S6_htseq_gene_counts.txt	T2S6_htseq_gene_counts.txt	tail	amputated	tail_amputated	Tail_Amputated_2	FALSE
T3S7_htseq_gene_counts.txt	T3S7_htseq_gene_counts.txt	tail	amputated	tail_amputated	Tail_Amputated_3	FALSE
T4S8_htseq_gene_counts.txt	T4S8_htseq_gene_counts.txt	tail	amputated	tail_amputated	Tail_Amputated_4	FALSE
